General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,02101200,"Bellies (streaky) and cuts thereof of swine, salted, in brine, dried or smoked",2025,Value for: kilograms,9885387.00,8665486.00,8187530.00,9554491.00,7627794.00,8354257.00,9075351.00,9288139.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02101900,"Meat of swine other than hams, shoulders, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",2025,Value for: kilograms,17329976.00,24300260.00,21913691.00,28912132.00,17371141.00,21243779.00,26173961.00,23155240.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02102000,"Meat of bovine animals, salted, in brine, dried or smoked",2025,Value for: kilograms,137758.00,175642.00,1063578.00,134478.00,135341.00,553183.00,155371.00,153363.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02109920,"Meat and edible offal of poultry of heading 0105, in brine, dried or smoked; edible flours and meals thereof",2025,Value for: kilograms,244687.00,445959.00,56429.00,89828.00,185308.00,321137.00,168769.00,99464.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02109991,"Meat and edible offal not elsewhere specified or included, salted, in brine, dried or smoked; edible flours and meals thereof",2025,Value for: kilograms,39446.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03011100,Live ornamental freshwater fish,2025,Value for: kilograms,5494700.00,9516448.00,10088350.00,5658042.00,4385436.00,4498555.00,4141053.00,3526410.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03011900,"Live ornamental fish, other than freshwater",2025,Value for: kilograms,1267955.00,1258539.00,1306015.00,1144673.00,824846.00,843517.00,824000.00,671196.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03019100,Live trout,2025,Value for: kilograms,175322.00,84995.00,187943.00,133060.00,161293.00,94344.00,128245.00,166117.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03019200,Live eels,2025,Value for: kilograms,434361.00,474641.00,390682.00,365487.00,198458.00,218592.00,220529.00,195102.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03019302,Live carp,2025,Value for: kilograms,93796.00,19190.00,11407.00,12147.00,20779.00,20302.00,32288.00,43423.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03019903,"Live Tench (Tinca Tinca), sheatfish (Silurus Glanis), bighead carp (Aristichthys Nobilis) and other fish, NESOI",2025,Value for: kilograms,3191046.00,2752868.00,2513678.00,2256032.00,1910706.00,1760817.00,1936748.00,1564430.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03021100,"Trout, fresh or chilled, excluding fillets, other meat portions, livers and roes",2025,Value for: kilograms,5677525.00,4979494.00,6573283.00,5168161.00,5620977.00,4388687.00,4285174.00,4509036.00,0.00,0.00,0.00,0.00
General CIF Imports Value,03021300,"Pacific salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes",2025,Value for: kilograms,7278951.00,7287899.00,8087644.00,7492931.00,8723914.00,7332234.00,13718289.00,12534517.00,0.00,0.00,0.00,0.00
